,Global,Local,TSER(SMOTE),TSER(ADASYN),TSER(BSMOTE),TSER(NM),Horizon
0,0.9128160936567498,0.9008814614938335,0.8742365767698729,0.882049013465192,0.8841011311636002,0.8892443985574149,1
1,1.0472294081625724,0.991874508621049,1.0091642079896572,1.0052550155875746,1.0120203147344402,0.9803676176261181,2
2,0.7949616202381944,0.8205311251116923,0.7833204765797313,0.7866563208046217,0.7896947459596562,0.8792813453284657,3
3,0.8100320858692925,0.8599660096171101,0.8149219586088541,0.8097759992690399,0.8114732976638748,0.8923675776972714,4
4,0.8403028627837003,0.8290122643683631,0.8071840606202957,0.812429796454831,0.8253734098771945,0.8646069552954555,5
5,0.8524006770836682,0.9331182189229709,0.849114502046205,0.8411163628352829,0.8624363872200399,0.9082750052569006,6
6,0.836715497901561,0.9555639489366693,0.8607685601116687,0.8583431568534088,0.8476775405263027,0.9591850605020078,7
7,0.9961901091462704,1.051486341997681,0.9778876101228701,0.9862105056680938,0.9887580177363793,1.0560913501078917,8
8,1.0290722857835453,1.0873332404187177,1.0008227531004552,1.0020326372901565,1.009023524668366,1.0976604276288968,9
9,0.840505217968735,0.9960863245922865,0.8321502687405647,0.8484098814723555,0.8610724443430142,0.9479940716297841,10
10,0.8607908872100162,0.9753646301095278,0.8623963415911347,0.8530859246957662,0.871133404663654,0.9649574668998708,11
11,0.8625082473879664,0.9477284694781365,0.8565578260593197,0.8601108214536305,0.8806860370122462,0.9647866084844062,12
12,0.8430107337087467,0.9861256110139449,0.8705482046497544,0.8548433679403025,0.8560468400488547,0.9473890887544458,13
13,0.8612368745020965,0.9551042352740163,0.865125468190732,0.8675714844766677,0.8842606668787736,0.980223274741196,14
